,Artist,Artist Link,Song,Song Link,Chinese Lyrics,English Lyrics,Author,Author Link
0,Angela Chang,https://lyricstranslate.com/en/angela-chang-lyrics.html,隱形的翅膀 (Yinxing De Chibang),https://lyricstranslate.com/en/yinxing-de-chibang-%E9%9A%B1%E5%BD%A2%E7%9A%84%E7%BF%85%E8%86%80-invisible-wings.html,hankeat,https://lyricstranslate.com/en/translator/hankeat,,
1,Andy Lau,https://lyricstranslate.com/en/andy-lau-lyrics.html,爱你一万年 (Ài nǐ yī wàn nián),https://lyricstranslate.com/en/ai-ni-yi-wan-nian-love-you-10000-years.html,embryonique,https://lyricstranslate.com/en/translator/embryonique,,
2,Yang Chengang,https://lyricstranslate.com/en/yang-chengang-lyrics.html,老鼠爱大米 (Lǎo shǔ ài dà mǐ),https://lyricstranslate.com/en/laoshu-ai-dami-%E8%80%81%E9%BC%A0%E7%88%B1%E5%A4%A7%E7%B1%B3-mouse-love-rice.html,"我听见你的声音
有种特别的感觉
让我不断想不敢再忘记你
我记得有一个人
永远留在我心中
哪怕只能够这样的想你
如果真的有一天
爱情理想会实现
我会加倍努力好好对你永远不改变
不管路有多么远
一定会让它实现
我会轻轻在你耳边对你说(对你说) 我爱你爱着你
就像老鼠爱大米
不管有多少风雨我都会依然陪着你
我想你想着你
不管有多么的苦
只要能让你开心我什么都愿意
这样爱你 我听见你的声音
有种特别的感觉
让我不断想不敢再忘记你
我记得有一个人
永远留在我心中
哪怕只能够这样的想你 如果真的有一天
爱情理想会实现
我会加倍努力好好对你永远不改变
不管路有多么远
一定会让它实现
我会轻轻在你耳边对你说(对你说) 我爱你爱着你
就像老鼠爱大米
不管有多少风雨我都会依然陪着你
我想你想着你
不管有多么的苦
只要能让你开心我什么都愿意
这样爱你( x3) ","I hear your voice
I get the unusual feeling
that let me thinking about you and not to forget you
I known there has a person
who stay in my heart forever
So i can only thinking about you
If I have a day,
that will make me dream do come true,
I will try to good for you forever
I don't care there is impossible
I will just to make it
I will slowly talk in your ears I love you, loving you
Like the mouse love the rice
Even there have so many trouble, I will stay beside you
I miss you, missing you
Even there have a large trouble,
I want to do anything to make your happiness
Loving like that... ",aiktunmyanmar,https://lyricstranslate.com/en/translator/aiktunmyanmar
3,G.E.M.,https://lyricstranslate.com/en/gem-lyrics.html,后会无期 (Hòu huì wú qí),https://lyricstranslate.com/en/%E5%90%8E%E4%BC%9A%E6%97%A0%E6%9C%9F-wont-meet-soon.html,"当一艘船沉入海底
当一个人成了谜
你不知道他们为何离去
那声再见竟是他最后一句 当一辆车消失天际
当一个人成了谜
你不知道他们为何离去
就像你不知道这竟是结局 在每个繁星抛弃银河的夜里
我会告别 告别我自己
因为我不知道 我也不想知道
和相聚之间的距离 当一辆车消失天际
当一个人成了谜
你不知道他们为何离去
就像你不知道这竟是结局 在每个银河坠入山谷的梦里
我会醒来 也忘记梦境
因为你不知道 你也不会知道
逝去的就已经失去 当一艘船沉入海底
当一个人成了谜
你不知道他们为何离去
那声再见竟是他最后一句 当一辆车消失天际
当一个人成了谜
你不知道他们为何离去
就像你不知道这竟是结局 ","Soundtrack of the movie:
后会无期 - The Continent
Lyrics: Han Han
Composer: Arthur Kent & Dee Sylvia
Translation: Orleusa - 欧丽娟 When a boat sinks in the ocean
When someone becomes
a mystery
You don't know
Why they suddenly left
And goodbye was actually the last word
When a car disappears in
the horizon
When someone becomes a mystery
You don't know
Why they suddenly left
As you didn't know that was the end
Just like the stars abandon the Galaxy every night
I will say good-bye, bid my own farewell
Because I don't know
I don't wanna know
The distance of being together
When a car disappears in
the horizon
When a person becomes
a mystery
You don't know
Why they suddenly left
As you didn't know that was the end
Like in a dream where the Galaxy plunges into the valley
I will wake up to forget my dreams
Because you don't know
You don't wanna know
What has passed is already lost
When a boat sinks in the ocean
When a person becomes a mystery
You don't know
Why they suddenly left
And goodbye was actually the last word
When a car disappears in the horizon
When a person becomes a mystery
You don't know
Why they suddenly left
As you didn't know that was the end ",Orleusa_欧丽娟,https://lyricstranslate.com/en/translator/orleusa%E6%AC%A7%E4%B8%BD%E5%A8%9F
4,Hu 66,https://lyricstranslate.com/en/%E8%83%A166-lyrics.html,浪人琵琶 (làng rén pí pá),https://lyricstranslate.com/en/%E6%B5%AA%E4%BA%BA%E7%90%B5%E7%90%B6-pipa-diaspora.html,"小生的花伞还落在你家
你美眷如花
我浪迹天涯
为我泡杯花茶
和你有些不搭
气氛开始有一点尴尬
你腼腆一笑
竟如此融洽
我情不自禁会为你牵挂
什么时代
早已经不想回家 你微微一笑
蝴蝶为你倾倒
凝眸几秒
不知道该干嘛
你拂袖模样
情千变万化
一壶好酒
趁着夜还未央
独自品尝
这大把好时光
夜深人静
略显一丝凄凉 东奔西走
微醺不宜骑马
听着浪人
弹着断了弦的琵琶
路过青楼酒馆
官人进来坐坐好吗
我的思念
似六月里的小雨哗哗
对你情有所钟
为你两袖清风 小生的花伞还落在你家
你美眷如花
我浪迹天涯
为我泡杯花茶
和你有些不搭
气氛开始有一点尴尬
你腼腆一笑
竟如此融洽
我情不自禁会为你牵挂
什么时代
早已经不想回家 东奔西走
微醺不宜骑马
听着浪人
弹着断了弦的琵琶
路过青楼酒馆
官人进来坐坐好吗 我的思念
似六月里的小雨哗哗
对你情有所钟
为你两袖清风
小生的花伞还落在你家
你美眷如花
我浪迹天涯
为我泡杯花茶
和你有些不搭
气氛开始有一点尴尬
你腼腆一笑
竟如此融洽
我情不自禁会为你牵挂
什么时代
早已经不想回家 我化成风
不舍一帘美梦
醉醒穿梭
终究是一场空
若非是你
今生又怎会懂
浪人回头
心动则心痛 ","Young lad me, my flower-print umbrella which I forgot, still lays in your home
You're gorgeous
and I travel the world
You brew a cup of floral tea for me
It seems like an odd action for you,
the atmosphere gets a bit awkward
You give a timid smile,
it feels just right
I can't help but miss you
Who cares what era this is
It's been long that I hadn't wanted to go home You give a slight smile
Butterflies fall for you
Gawking for a few seconds
Not knowing what to do
Your slowly moving your sleeve
accompanies thousands of changes in your expression
A pot of good brew (of alcohol)
While the night is still young
Tasting on my own
a great deal of a good time
late in a quiet night
it seems a bit melancholy Travelling here and there
When you're tipsy is not a good time to ride a horse
Listening to a diaspora playing a broken-stringed pipa
Passing by hospitality,
Would you please come in and sit for a while? My longing for you
is like the pattering of June rain
I love only you
I stay blameless for you Young lad me, my flower-print umbrella which I forgot, still lays in your home
You're gorgeous
and I travel the world
You brew a cup of floral tea for me
It seems like an odd action for you,
the atmosphere gets a bit awkward
You give a timid smile,
it feels just right
I can't help but miss you
Who cares what era this is
It's been long that I hadn't wanted to go home I turn into wind
Not wanting to let go of my dream
Alternating between wakefulness and drunkenness
In the end, I am left with nothing
If it weren't for you,
in this lifetime, how would I ever know that:
if a diaspora glances back,
falling (for a person) would certainly mean heartache? ",BendersB,https://lyricstranslate.com/en/translator/bendersb
5,HYUKOH,https://lyricstranslate.com/en/hyukoh-lyrics.html,Wanli,https://lyricstranslate.com/en/wanli-thousand-miles.html,ahss010,https://lyricstranslate.com/en/translator/ahss010,,
6,Jolin Tsai,https://lyricstranslate.com/en/jolin-tsai-lyrics.html,"不一樣又怎樣 (We're All Different, Yet The Same)",https://lyricstranslate.com/en/were-all-different-yet-same-%E4%B8%8D%E4%B8%80%E6%A8%A3%E5%8F%88%E6%80%8E%E6%A8%A3-were-all-different-yet-same.html,Guiwawa,https://lyricstranslate.com/en/translator/guiwawa,,
7,Teresa Teng,https://lyricstranslate.com/en/teresa-teng-lyrics.html,千言万语 (Qiān yán wàn yǔ),https://lyricstranslate.com/en/%E5%8D%83%E8%A8%80%E4%B8%87%E8%AF%AD-qianyanwanyu-thousands-words.html,"不知道为了什么　
忧愁他围绕着我
我每天都在祈祷　
快赶走爱的寂寞 那天起　
你对我说　
永远的爱着我
千言和万语　
随浮云掠过 不知道为了什么
忧愁他围绕着我
我每天都在祈祷　
快赶走爱的寂寞 ","I don't know why
Worries surround me
I pray everyday
To cast out the loneliness of love From that day
You told me
That you would love me forever
Thousands of words
Brush past with the clouds I don't know why
Worries surround me
I pray everyday
To cast out the loneliness of love ",dammoon,https://lyricstranslate.com/en/translator/dammoon
8,Yan Ba Er,https://lyricstranslate.com/en/yan-ba-er-lyrics.html,纸短情长 (Zhi Duan Qing Chang),https://lyricstranslate.com/en/zhi-duan-qing-chang-short-paper-long-love.html,"你陪我步入蝉夏
越过城市喧嚣
歌声还在游走
你榴花般的双眸
不见你的温柔
丢失花间欢笑
岁月无法停留
流云的等候 我真的好想你
在每一个雨季
你选择遗忘的
是我最不舍的
纸短情长啊
道不尽太多涟漪
我的故事都是关于你呀 怎么会爱上了她
并决定跟她回家
放弃了我的所有我的一切无所谓
纸短情长啊
诉不完当时年少
我的故事还是关于你呀 我真的好想你
在每一个雨季
你选择遗忘的
是我最不舍的
纸短情长啊
道不尽太多涟漪
我的故事都是关于你呀 怎么会爱上了她
并决定跟她回家
放弃了我的所有我的一切无所谓
纸短情长啊
诉不完当时年少
我的故事还是关于你呀
我的故事还是关于你呀 ","You walked with me into a cicada summer
walking through the hustle and bustle of a city
songs are still in the air
Your eyes like pomegranate blossoms
Your gentillesse disappears
The laughter among flowers is lost
Time stops for no one
The waiting of passing clouds I miss you so much
every rainy season
What you choose to forget
is what I am attached to the most
Short paper, long love
There are so many ripples that I cannot finish telling of
Every aspect of my story is about you How did I fall in love with her
and decide to go home with her
giving up my all, my everything, it doesn't matter
Short paper, long love
My youth of yester-year is a long story
My story is still about you I miss you so much
every rainy season
What you choose to forget
is what I am attached to the most
Short paper, long love
There are so many ripples that I cannot finish telling of
Every aspect of my story is about you How did I fall in love with her
and decide to go home with her
giving up my all my everything, it doesn't matter
Short paper, long love
My youth of yester-year is a long story
My story is still about you
My story is still about you ",BendersB,https://lyricstranslate.com/en/translator/bendersb
9,Jacky Cheung,https://lyricstranslate.com/en/jacky-cheung-lyrics.html-0,我醒著做夢 (Wǒ xǐng zhe zuò mèng),https://lyricstranslate.com/en/%E6%88%91%E9%86%92%E8%91%97%E5%81%9A%E5%A4%A2-i-dream-while-awake.html,1998Ruby1998,https://lyricstranslate.com/en/translator/1998ruby1998,,
